city,destination,country
Aktyubinsk,AKX,Kazakhstan
Akulivik,AKV,Canada
Akunnaaq,QCU,Greenland
Akure,AKR,Nigeria
Akureyri,AEY,Iceland
Akutan,KQA,United States
Al,XXR,Norway
Al Ain,AAN,United Arab Emirates
Al Arish,AAC,Egypt
Al Ghaydah,AAY,Yemen
Al Hoceima,AHU,Morocco
City name,Airport Code,Country name
Al Kharj,AKH,Saudi Arabia
Al Koude,WWG,Oman
Al Thaurah,SOR,Syria
Al Udeid,XJD,Qatar
Alah,AAV,Philippines
Alahsa,HOF,Saudi Arabia
Alakanuk,AUK,United States
Alameda,NGZ,United States
Alamogordo,HMN,United States
Alamogordo,ALM,United States
Alamos,XAL,Mexico
Alamosa,ALS,United States
Albacete,ABC,Spain
Al-Baha,ABT,Saudi Arabia
Albany,NAB,United States
Albany,ABY,United States
City name,Airport Code,Country name
Albany,ALB,United States
Albany,ZLY,United States
Albany,CVO,United States
Albany,ALH,Australia
Albenga,ALL,Italy
Albert Lea,AEL,United States
Albi,LBI,France
Albina,ABN,Suriname
Albuq,BUK,Yemen
Albuquerque,ABQ,United States
Albury,ABX,Australia
Alconbury,AYH,United Kingdom
Aldan,ADH,Russian Federation
Alderney,ACI,United Kingdom
Aleg,LEG,Mauritania
Alegrete,ALQ,Brazil
City name,Airport Code,Country name
Aleknagik,WKK,United States
Aleneva,AED,United States
Alenquer,ALT,Brazil
Aleppo,ALP,Syria
Alert,YLT,Canada
Alert Bay,YAL,Canada
Alerta,ALD,Peru
Alexander Bay,ALJ,South Africa
Alexander City,ALX,United States
Alexandra,ALR,New Zealand (Aotearoa)
Alexandria,HBE,Egypt
Alexandria,ALY,Egypt
Alexandria,AEX,United States
Alexandria,ESF,United States
Alexandria,AXN,United States
Alexandria,AXL,Australia
City name,Airport Code,Country name
Alexandria Bay,AXB,United States
Alexandroupolis,AXD,Greece
Al-Fujairah,FJR,United Arab Emirates
Algeciras,AEI,Spain
Alghero,AHO,Italy
Algiers,ALG,Algeria
Algona,AXG,United States
Alicante,ALC,Spain
Alice,ALI,United States
Alice Arm,ZAA,Canada
Alice Springs,ASP,Australia
Alice Springs,XHW,Australia
Aliceville,AIV,United States
Alisabieh,AII,Djibouti
Alitak,ALZ,United States
Aljouf,AJO,Yemen
City name,Airport Code,Country name
Allahabad,IXD,India
Allakaket,AET,United States
Alldays,ADY,South Africa
Alliance,AIA,United States
Alluitsup Paa,LLU,Greenland
Alma,AMN,United States
Alma,YTF,Canada
Almaty,ALA,Kazakhstan
Almenara,AMJ,Brazil
Almeria,LEI,Spain
Along,IXV,India
Alor Island,ARD,Indonesia
Alor Setar,AOR,Malaysia
Alotau,GUR,Papua New Guinea
Alowe,AWE,Gabon
Alpe D Huez,AHZ,France
City name,Airport Code,Country name
Alpena,APN,United States
Alpha,ABH,Australia
Alpine,ALE,United States
Alroy Downs,AYD,Australia
Alta,ALF,Norway
Alta Floresta,AFL,Brazil
Alta Lake,YAE,Canada
Altai,LTI,Mongolia
Altamira,ATM,Brazil
Altay,AAT,China
Altenburg,AOC,Germany
Altenrhein,ACH,Switzerland
Alto Molocue,AME,Mozambique
Alto Palena,WAP,Chile
Alto Parnaiba,APY,Brazil
Alto Rio Senguerr,ARR,Argentina
City name,Airport Code,Country name
Alton,ALN,United States
Alton Downs,AWN,Australia
Altus,LTS,United States
Altus,AXS,United States
Alula,ALU,Somalia
Alvdal,XJA,Norway
Alvesta,XXA,Sweden
Alyeska,AQY,United States
Am Timan,AMC,Guam
Ama,AMF,Papua New Guinea
Amahai,AHI,Indonesia
Amalfi,AFI,Colombia
Amami O Shima,ASJ,Japan
Amanab,AMU,Papua New Guinea
Amarillo,AMA,United States
Amarillo,TDW,United States
City name,Airport Code,Country name
Amata,AMT,Australia
Amazon Bay,AZB,Papua New Guinea
Ambanja,IVA,Madagascar
Ambato,ATF,Ecuador
Ambatolahy,AHY,Madagascar
Ambatomainty,AMY,Madagascar
Ambatondrazaka,WAM,Madagascar
Ambilobe,AMB,Madagascar
Ambler,ABL,United States
Amboin,AMG,Papua New Guinea
Ambon,AMQ,Indonesia
Amboseli,ASV,Kenya
Ambriz,AZZ,Angola
Ambunti,AUJ,Papua New Guinea
Amchitka,AHT,United States
Amderma,AMV,Russian Federation
City name,Airport Code,Country name
American River,RCN,Australia
Amery,AHH,United States
Ames,AMW,United States
Amityville,AYZ,United States
Amman,ADJ,Jordan
Amman,AMM,Jordan
Ammaroo,AMX,Australia
Amook,AOS,United States
Amos,YEY,Canada
Ampanihy,AMP,Madagascar
Ampara,ADP,Sri Lanka
Ampara,AFK,Sri Lanka
Amritsar,ATQ,India
Haarlemmermeer,AMS,The Netherlands
An Shun,AVA,China
Anaa,AAA,French Polynesia
City name,Airport Code,Country name
Anaco,AAO,Venezuela
Anacortes,OTS,United States
Anacostia,NDV,United States
Anadyr,DYR,Russian Federation
Anaheim,ANA,United States
Anahim Lake,YAA,Canada
Anaktuvuk,AKP,United States
Analalava,HVA,Madagascar
Anapa,AAQ,Russian Federation
Anapolis,APS,Brazil
Anchorage,EDF,United States
Anchorage,ANC,United States
Anchorage,MRI,United States
Ancona,AOI,Italy
Ancud,ZUD,Chile
Andahuaylas,ANS,Peru
City name,Airport Code,Country name
Andakombe,ADC,Papua New Guinea
Andamooka,ADO,Australia
Andapa,ZWA,Madagascar
Andenes,ANX,Norway
Anderson,AID,United States
Anderson,AND,United States
Andes,ADN,Colombia
Andizhan,AZN,Uzbekistan
Andover,ADV,United Kingdom
Andrews,ADR,United States
Andriamena,WAD,Madagascar
Andros Town,ASD,Bahamas
Andulo,ANL,Angola
Anegada,NGD,Virgin Islands (British)
Aneityum,AUY,Vanuatu
City name,Airport Code,Country name
Angel Fire,AXX,United States
Angelholm/Helsingborg,AGH,Sweden
Angelholm/Helsingborg,XYQ,Sweden
Angelholm/Helsingborg,JHE,Sweden
Angelholm/Helsingborg,XYH,Sweden
Angers,ANE,France
Anggi,AGD,Indonesia
Angling Lake,YAX,Canada
Angoche,ANO,Mozambique
Angola,ANQ,United States
Angoon,AGN,United States
Angoram,AGG,Papua New Guinea
Angouleme,ANG,France
Anguganak,AKG,Papua New Guinea
Anguilla,AXA,Anguilla
Anguilla,RFK,United States
City name,Airport Code,Country name
Angus Downs,ANZ,Australia
Aniak,ANI,United States
Anita Bay,AIB,United States
Aniwa,AWD,Vanuatu
Anjouan,AJN,Comoros
Ankang,AKA,China
Ankara,ESB,Turkey
Ankara,ANK,Turkey
Ankavandra,JVA,Madagascar
Ankazoabo,WAK,Madagascar
Ankokoambo,NKO,Madagascar
Ankorefo,WOR,Madagascar
Ann Arbor,ARB,United States
Annaba,AAE,Algeria
Annai,NAI,Guyana
Annanberg,AOB,Papua New Guinea
City name,Airport Code,Country name
Annapolis,ANP,United States
Annecy,NCY,France
Annette Island,ANN,United States
Anniston,ANB,United States
Anniston,QAW,United States
Anniston,RLI,United States
Anqing,AQG,China
Anshan,AOG,China
Anta,ATA,Peru
Antalaha,ANM,Madagascar
Antalya,AYT,Turkey
Antananarivo,TNR,Madagascar
Anthony,ANY,United States
Anthony Lagoon,AYL,Australia
Antigua,ANU,Antigua and Barbuda
Antique,EUQ,Philippines
City name,Airport Code,Country name
Antlers,ATE,United States
Antofagasta,ANF,Chile
Antsalova,WAQ,Madagascar
Antsirabe,ATJ,Madagascar
Antsiranana,DIE,Madagascar
Antsohihy,WAI,Madagascar
Antwerp,ZYZ,Belgium
Antwerp,ZAY,Belgium
Antwerp,ANR,Belgium
Anuha Island Resort,ANH,Solomon Islands
Anuradhapura,ACJ,Sri Lanka
Anvik,ANV,United States
Anyang,AYN,China
Aomori,AOJ,Japan
Aosta,AOT,Italy
Apalachicola,AAF,United States
City name,Airport Code,Country name
Apalapsili,AAS,Indonesia
Apartado,APO,Colombia
Apataki,APK,French Polynesia
Apatzingan,AZG,Mexico
Apia,FGI,Samoa
Apia,APW,Samoa
Apiay,API,Colombia
Apolo,APB,Bolivia
Apple Valley,APV,United States
Appleton,ATW,United States
April River,APR,Papua New Guinea
Apucarana,APU,Brazil
Aqaba,AQJ,Jordan
Araak,AJK,Iran
Aracaju,AJU,Brazil
Aracatuba,ARU,Brazil
City name,Airport Code,Country name
Arad,ARW,Romania
Aragarcas,ARS,Brazil
Aragip,ARP,Papua New Guinea
Araguaina,AUX,Brazil
Aramac,AXC,Australia
Arandis,ADI,Namibia
Aranuka,AAK,Kiribati
Arapahoe,AHF,United States
Arapiraca,APQ,Brazil
Arapongas,APX,Brazil
Arapoti,AAG,Brazil
Arar,RAE,Saudi Arabia
Araracuara,ACR,Colombia
Araraquara,AQA,Brazil
Ararat,ARY,Australia
Arauca,AUC,Colombia
City name,Airport Code,Country name
Arauquita,ARQ,Colombia
Arawa,RAW,Papua New Guinea
Araxa,AAX,Brazil
Arba Mintch,AMH,Ethiopia
Arboletas,ARO,Colombia
Arcata,ACV,United States
Arctic Bay,YAB,Canada
Arctic Village,ARC,United States
Ardabil,ADU,Iran
Ardmore,AMZ,New Zealand (Aotearoa)
Ardmore,AHD,United States
Ardmore,ADM,United States
Arecibo,ARE,Puerto Rico
Arequipa,AQP,Peru
Argentia,NWP,Canada
Argyle,GYL,Australia
City name,Airport Code,Country name
Argyle Downs,AGY,Australia
Aribinda,XAR,Burkina Faso
Arica,ARI,Chile
Arica,ACM,Colombia
Aripuana,AIR,Brazil
Ariquemes,AQM,Brazil
Arkalyk,AYK,Kazakhstan
Arkhangelsk,ARH,Russian Federation
Arlington Heights,JLH,United States
Arlit,RLT,Niger
Arly,ARL,Burkina Faso
Armenia,AXM,Colombia
Armidale,ARM,Australia
Armstrong,YYW,Canada
Arna,XHT,Norway
Arnes,YNR,Canada
City name,Airport Code,Country name
Arno,AMR,Marshall Islands
Aroa,AOA,Papua New Guinea
Arona,AON,Papua New Guinea
Arona,RNA,Solomon Islands
Arorae Island,AIS,Kiribati
Arrabury,AAB,Australia
Arraias,AAI,Brazil
Arso,ARJ,Indonesia
Arsuk,JRK,Greenland
Artesia,ATS,United States
Artigas,ATI,Uruguay
Arua,RUA,Uganda
Aruba,AUA,Aruba
Aruja,ZFU,Brazil
Arusha,ARK,Tanzania
Arutua,AXR,French Polynesia
City name,Airport Code,Country name
Arvaikheer,AVK,Mongolia
Arviat,YEK,Canada
Arvidsjaur,AJR,Sweden
Asahikawa,AKJ,Japan
Asaloyeh,YEH,Iran
Asapa,APP,Papua New Guinea
Asau,AAU,Samoa
Asbestos Hill,YAF,Canada
"Neptune, NJ",ARX,United States
Ascension,ASC,Bolivia
Ascona,ACO,Switzerland
Aseki,AEK,Papua New Guinea
Asela,ALK,Ethiopia
Ashburton,ASG,New Zealand (Aotearoa)
Ashcroft,YZA,Canada
Ashgabat,ASB,Turkmenistan
City name,Airport Code,Country name
Ashland,ASX,United States
Ashley,ASY,United States
Asirim,ASZ,Papua New Guinea
Asmara,ASM,Ethiopia
Asosa,ASO,Ethiopia
Aspen,ASE,United States
Assab,ASA,Ethiopia
Assis,AIF,Brazil
Assiut,ATZ,Egypt
Astana,TSE,Kazakhstan
Astoria,AST,United States
Astrakhan,ASF,Russian Federation
Astraksetra,AKQ,Indonesia
Asturias,OVD,Spain
Astypalaia Island,JTY,Greece
Asuncion,ASU,Paraguay
City name,Airport Code,Country name
Aswan,ASW,Egypt
Atambua,ABU,Indonesia
Ataq,AXK,Yemen
Atar,ATR,Mauritania
Atauro,AUT,Indonesia
Atbara,ATB,Sudan
Atbasar,ATX,Kazakhstan
Athens,AHN,United States
Athens,ATH,Greece
Athens,HEW,Greece
Athens,ATO,United States
Athens,MMI,United States
Ati,ATV,Chad
Atikokan,YIB,Canada
Atiu Island,AIU,Cook Islands
Atka,AKB,United States
City name,Airport Code,Country name
Atkamba,ABP,Papua New Guinea
Atlanta,JAO,United States
Atlanta,PDK,United States
Atlanta,FTY,United States
Atlanta,JGL,United States
Atlanta,ATL,United States
Atlanta,JAJ,United States
Atlanta,JAE,United States
Atlantic,AIO,United States
Atlantic City,ACY,United States
Atlantic City,AIY,United States
Atlantic City,JSL,United States
Atmautluak,ATT,United States
Atoifi,ATD,Solomon Islands
Atqasuk,ATK,United States
Atsugi,NJA,Japan
City name,Airport Code,Country name
Attawapiskat,YAT,Canada
Attock,ATG,Pakistan
Attopeu,AOU,Laos
Attu,QGQ,Greenland
Attu Island,ATU,United States
Atuona,AUQ,French Polynesia
Atyrau,GUW,Kazakhstan
Aua Island,AUI,Papua New Guinea
Aubagne,JAH,France
Aubenas,OBS,France
Auburn,AUO,United States
Auburn,AUN,United States
Auckland,AKL,New Zealand (aotearoa)
Auckland,MHB,New Zealand (Aotearoa)
Aue,ZAU,Germany
Augusta,AGS,United States
City name,Airport Code,Country name
Augusta,DNL,United States
Augusta,AUG,United States
Augustus Downs,AUD,Australia
Aumo,AUV,Papua New Guinea
Aupaluk,YPJ,Canada
Aur Island,AUL,Marshall Islands
Aurangabad,IXU,India
Aurillac,AUR,France
Aurora,AUZ,United States
Aurukun Mission,AUU,Australia
Austin,AUM,United States
Austin,ASQ,United States
Austin,MMR,United States
Austral Downs,AWP,Australia
Auvergne,AVG,Australia
Auxerre,AUF,France
City name,Airport Code,Country name
Avesta Krylbo,XYP,Sweden
Aviano,AVB,Italy
Avignon,XZN,France
Avignon,AVN,France
Avon Park,AVO,United States
Avoriaz,AVF,France
Avu Avu,AVU,Solomon Islands
Awaba,AWB,Papua New Guinea
Awar,AWR,Papua New Guinea
Awaradam,AAJ,Suriname
Awareh,AWH,Ethiopia
Awassa,AWA,Ethiopia
Axum,AXU,Ethiopia
Ayacucho,AYC,Colombia
Ayacucho,AYP,Peru
Ayapel,AYA,Colombia
City name,Airport Code,Country name
Ayawasi,AYW,Indonesia
Ayers Rock,AYQ,Australia
Ayolas,AYO,Paraguay
Ayr,AYR,Australia
Ba,BFJ,Fiji
Babelegi,HBL,South Africa
Babo,BXB,Indonesia
Babolsar,BBL,Iran
Baca Grande,BCJ,United States
Bacau,BCM,Romania
Bacolod,BCD,Philippines
Badajoz,BJZ,Spain
Bade,BXD,Indonesia
Badin,BDN,Pakistan
Badu Island,BDD,Australia
Bafoussam,BFX,Cameroon
City name,Airport Code,Country name
Bagan,BPE,Myanmar
Baganga,BNQ,Philippines
Bagani,BQI,Namibia
Bagdad,BGT,United States
Bagdogra,IXB,India
Bage,BGX,Brazil
Baghdad,BGW,Iraq
Baghdad,SDA,Iraq
Baglung,BGL,Nepal
Bagotville,YBG,Canada
Baguio,BAG,Philippines
Bahar Dar,BJR,Ethiopia
Bahawalnagar,WGB,Pakistan
Bahawalpur,BHV,Pakistan
Bahia Angeles,BHL,Mexico
Bahia Blanca,BHI,Argentina
City name,Airport Code,Country name
Bahia Cupica,BHF,Colombia
Bahia De Caraquez,BHA,Ecuador
Bahia Negra,BFA,Paraguay
Bahia Pinas,BFQ,Panama
Bahia Solano,BSC,Colombia
Manama,BAH,Bahrain
Bahregan,IAQ,Iran
Baia Mare,BAY,Romania
Baibara,BAP,Papua New Guinea
Baidoa,BIB,Somalia
Baie Comeau,YBC,Canada
Baie Johan Beetz,YBJ,Canada
Baimuru,VMU,Papua New Guinea
Bainbridge,BGE,United States
Baindoung,BDZ,Papua New Guinea
Bairnsdale,BSJ,Australia
City name,Airport Code,Country name
Baitadi,BIT,Nepal
Bajawa,BJW,Indonesia
Bajhang,BJH,Nepal
Bajone,BJN,Mozambique
Bajura,BJU,Nepal
Bakalalan,BKM,Malaysia
Bakel,BXE,Senegal
Baker,BKE,United States
Baker Island,BAR,United States
Baker Lake,YBK,Canada
Bakersfield,BFL,United States
Bakkafjordur,BJD,Iceland
Bakouma,BMF,Central African Republic
Baku,ZXT,Azerbaijan
Balad,XQC,Iraq
Balakovo,BWO,Russian Federation
City name,Airport Code,Country name
Balalae,BAS,Solomon Islands
Balaton,SOB,Hungary
Balboa,BLB,Panama
Balcanoona,LCN,Australia
Baler,BQA,Philippines
Balgo Hills,BQW,Australia
Balhash,BXH,Kazakhstan
Bali,BLC,Cameroon
Bali,BAJ,Papua New Guinea
Balikesir,BZI,Turkey
Balikesir,MQJ,Turkey
Balikpapan,BPN,Indonesia
Balimo,OPU,Papua New Guinea
Ballina,BNK,Australia
Bally Kelly,BOL,United Kingdom
Balmaceda,BBA,Chile
City name,Airport Code,Country name
Balranald,BZD,Australia
Balsas,BSS,Brazil
Baltimore,GBO,United States
Baltimore,ZBP,United States
Baltimore,MTN,United States
Baltrum,BMR,Germany
Balurghat,RGH,India
Bam,BXR,Iran
Bamaga,ABM,Australia
Bamako,BKO,Mali
Bambari,BBY,Central African Republic
Bambu,BCP,Papua New Guinea
Bamburi,BMQ,Kenya
Bamenda,BPC,Cameroon
Bamerny,BMN,Iraq
Bamfield,YBF,Canada
City name,Airport Code,Country name
Bamiyan,BIN,Afghanistan
Bamu,BMZ,Papua New Guinea
Ban Houei,OUI,Laos
Ban Mak Khaen,BAO,Thailand
Banaina,NAF,Indonesia
Banda Aceh,BTJ,Indonesia
Bandanaira,NDA,Indonesia
Bandar Abbas,BND,Iran
Bandar Lampung,TKG,Indonesia
Bandar Lengeh,BDH,Iran
Bandar Mahshahr,MRX,Iran
Bandar Seri Begawan,BWN,Brunei Darussalam
Bandirma,BDM,Turkey
Bandon,BDY,United States
Bandundu,FDU,Zaire
Bandung,BDO,Indonesia
City name,Airport Code,Country name
Banff,YBA,Canada
Banfora,BNR,Burkina Faso
Bangalore,BLR,India
Bangassou,BGU,Central African Republic
Bangda,BPX,China
Bangkok,BKK,Thailand
Bangor,BGR,United States
Bangui,BGF,Central African Republic
Baniyala,BYX,Australia
Banja Luka,BNX,Bosnia And Herzegovina
Banjarmasin,BDJ,Indonesia
Banjul,BJL,Gambia
Sydney,BWU,Australia
Banmethuot,BMV,Viet Nam
Banning,BNG,United States
Bannu,BNP,Pakistan
City name,Airport Code,Country name
Bantry,BYT,Ireland
Banz,BNZ,Papua New Guinea
Baoshan,BSD,China
Baotou,BAV,China
Bapi,BPD,Papua New Guinea
Baqubah,XQV,Iraq
Bar Harbor,BHB,United States
Baracoa,BCA,Cuba
Barahona,BRX,Dominican Republic
Barakoma,VEV,Solomon Islands
Baramita,BMJ,Guyana
Baranof,BNF,United States
Barbelos,BAZ,Brazil
Barbers Point,NAX,United States
Barbuda,BBQ,Antigua and Barbuda
Barcaldine,BCI,Australia
City name,Airport Code,Country name
Barcelona,BCN,Spain
Barcelona,BLA,Venezuela
Barcelonnette,BAE,France
Bardera,BSY,Somalia
Bardstown,BRY,United States
Bardufoss,BDU,Norway
Bareli,BEK,India
Bari,BRI,Italy
Barinas,BNS,Venezuela
Bario,BBN,Malaysia
Barisal,BZL,Bangladesh
Barkly Downs,BKP,Australia
Barnaul,BAX,Russian Federation
Barnwell,BNL,United States
Barora,RRI,Solomon Islands
Barquisimeto,BRM,Venezuela
City name,Airport Code,Country name
Barra,BQQ,Brazil
Barra,BRR,United Kingdom
Barra Colorado,BCL,Costa Rica
Barra Do Corda,BDC,Brazil
Barra Do Garcas,BPG,Brazil
Barranca De Upia,BAC,Colombia
Barrancabermeja,EJA,Colombia
Barrancominas,NBB,Colombia
Barranquilla,BAQ,Colombia
Barreiras,BRA,Brazil
Barreirinhas,BRB,Brazil
Barretos,BAT,Brazil
Barrow,PBA,United States
Barrow,BRW,United States
Barrow Island,BWB,Australia
Barrow-In-Furness,BWF,United Kingdom
City name,Airport Code,Country name
Barter Island,BTI,United States
Barth,BBH,Germany
Bartica,GFO,Guyana
Bartlesville,BVO,United States
Bartletts,BSZ,United States
Bartow,BOW,United States
Baruun-Urt,UUN,Mongolia
Basankusu,BSU,Zaire
Basco,BSO,Philippines
Basel/Mulhouse,ZBA,Switzerland
Basongo,BAN,Zaire
Basra,BSR,Iraq
Basse Terre,BBR,Guadeloupe
Bassein,BSX,Myanmar
Bastia,BIA,France
Bata,BSG,Equatorial Guinea
City name,Airport Code,Country name
Batam,BTH,Indonesia
Batangafo,BTG,Central African Republic
Batavia Downs,BVW,Australia
Batesville,BVX,United States
Batesville,HLB,United States
Bathurst,ZBF,Canada
Bathurst,BHS,Australia
Bathurst Island,BRT,Australia
Batman,BAL,Turkey
Batna,BLJ,Algeria
Batom,BXM,Indonesia
Baton Rouge,EBR,United States
Baton Rouge,BTR,United States
Batouri,OUR,Cameroon
Batsfjord,BJF,Norway
Battambang,BBM,Cambodia
City name,Airport Code,Country name
Batticaloa,BTC,Sri Lanka
Battle Creek,BTL,United States
Battle Mountain,BAM,United States
Batu Licin,BTW,Indonesia
Batumi,BUS,Georgia
Batuna,BPF,Solomon Islands
Baubau,BUW,Indonesia
Baucau,BCH,Indonesia (East Timor)
Bauchi,BCU,Nigeria
Baudette,BDE,United States
Baures,BVL,Bolivia
Bauru,BAU,Brazil
Bawan,BWJ,Papua New Guinea
Bay City,BBC,United States
Bayamo,BYM,Cuba
Bayankhongor,BYN,Mongolia
City name,Airport Code,Country name
Bayreuth,BYU,Germany
Baytown,HPY,United States
Bazaruto Island,BZB,Mozambique
Beagle Bay,BEE,Australia
Bealanana,WBE,Madagascar
Bear Creek,BCC,United States
Bearskin Lake,XBE,Canada
Beatrice,BIE,United States
Beatton River,YZC,Canada
Beatty,BTY,United States
Beaufort,BFT,United States
Beaumont,BMT,United States
Beaumont,BPT,United States
Beaver,WBQ,United States
Beaver Creek,YXQ,Canada
Beaver Falls,BFP,United States
City name,Airport Code,Country name
Beaver Inlet,BVD,United States
Bechar,CBH,Algeria
Beckley,BKW,United States
Bedford,BFR,United States
Bedford Downs,BDW,Australia
Bedford/Hanscom,BED,United States
Bedourie,BEU,Australia
Bedwell Harbor,YBW,Canada
Beef Island,EIS,Virgin Islands (British)
Beer Sheba,BEV,Israel
Beeville,NIR,United States
Befandriana,WBD,Madagascar
Beica,BEI,Ethiopia
Beida,LAQ,Libya
Beidah,BYD,Yemen
Beihai,BHY,China
City name,Airport Code,Country name
Beihan,BHN,Yemen
Beijing,PEK,China
Beijing,NAY,China
Beira,BEW,Mozambique
Beirut,BEY,Lebanon
Bejaia,BJA,Algeria
Bekily,OVA,Madagascar
Belaga,BLG,Malaysia
Belburn,BXF,Australia
Belem,BEL,Brazil
Belep Island,BMY,New Caledonia
Belfast,BHD,United Kingdom
Belfast,BFS,United Kingdom
Belfort,BOR,France
Belgaum,IXG,India
Belgorod,EGO,Russian Federation
City name,Airport Code,Country name
Belgrade,BJY,Yugoslavia
Belgrade,BEG,Yugoslavia (Serbia and Montenegro)
Belize City,TZA,Belize
Belize City,BZE,Belize
Bell Island,KBE,United States
Bella Bella,ZEL,Canada
Bella Coola,QBC,Canada
Bella Union,BUV,Uruguay
Bella Yella,BYL,Liberia
Bellaire,ACB,United States
Bellary,BEP,India
Bellavista,BLP,Peru
Belle Chasse,BCS,United States
Bellefonte,PSB,United States
Belleville,BLV,United States
Bellingham,BLI,United States
City name,Airport Code,Country name
Bellona,BNY,Solomon Islands
Belluno,BLX,Italy
Belmar,BLM,United States
Belmonte,BVM,Brazil
Belmopan,BCV,Belize
Belmullet,BLY,Ireland
Belo,BMD,Madagascar
Belo Horizonte,PLU,Brazil
Beloreck,BCX,Russian Federation
Beltsy,BZY,Moldova
Beluga,BVU,United States
Bembridge,BBP,United Kingdom
Bemichi,BCG,Guyana
Bemidji,BJI,United States
Benalla,BLN,Australia
Benbecula,BEB,United Kingdom
City name,Airport Code,Country name
Bendigo,BXG,Australia
Bengbu,BFU,China
Benghazi,BEN,Libya
Bengkulu,BKS,Indonesia
Benguela,BUG,Angola
Benguera Island,BCW,Mozambique
Beni,BNC,Zaire
Benin City,BNI,Nigeria
Benjina,BJK,Indonesia
Bennettsville,BTN,United States
Bensbach,BSP,Papua New Guinea
Benson,BEX,United Kingdom
Benson,BBB,United States
Bento Goncalves,BGV,Brazil
Benton Harbor,BEH,United States
Bentota River,BJT,Sri Lanka
City name,Airport Code,Country name
Beppu,BPU,Japan
Berau,BEJ,Indonesia
